KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-10-17,24.308,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-10-20,24.29,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-10-21,24.314,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-10-22,24.308,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-10-23,24.308,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-10-24,24.336,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-10-27,24.323,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-10-28,24.348,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-10-29,24.338,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-10-30,24.378,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-10-31,24.327,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-03,24.339,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-04,24.371,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-05,24.365,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
EXR.D.CZK.EUR.SP00.A,D,CZK,EUR,SP00,A,2025-11-06,24.334,A,F,,,P1D,,A,,,,,,,99Q1=100,,,3,,4F0,,Czech koruna/Euro ECB reference exchange rate,"ECB reference exchange rate, Czech koruna/Euro, 2.15 pm (C.E.T.)",CZK,0
