key,label,page,section,basis,sources,note,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,GR,HU,IE,IT,LV,LT,LU,MT,NL,PL,PT,RO,SK,SI,ES,SE
hearingProtectionPro3,Hearing Protection on AirPods Pro 3,airpods,hearing-protection-airpods-pro-3,country,S14,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
communicationSafety,Communication Safety in Messages,watchos,communications-communication-safety,country,A4;S13,,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,Y
weatherAQI,Weather: air quality index,watchos,weather-air-quality-index,country,S13,,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N
weatherNextHour,Weather: next-hour precipitation,watchos,weather-next-hour-precipitation,country,S13,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
healthRecords,Health Records in the Health app,ios,health-health-records,country,A4,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
mapsLookAround,Maps: Look Around,ios,maps-look-around,country,A4,,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y
mapsCycling,Maps: cycling directions,ios,maps-cycling,country,A4,,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,Y
mapsTransit,Maps: transit directions,ios,maps-transit,country,A4,HU and PT appear as cities only,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y
mapsDetailedCity,Maps: Detailed City Experience,ios,maps-3d-city-experience,city,A4,,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,Y
mapsIndoorAirports,Maps: indoor airport maps,manual,maps-indoor-maps-airports,airport,A4,Page lists airports without countries; derived from airport locations,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,Y,N
mapsSpeedLimits,Maps: speed limits,ios,maps-speed-limits,country,A4,,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y
mapsLaneGuidance,Maps: lane guidance,ios,maps-lane-guidance,country,A4,,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y
mapsCustomRoute,Maps: custom route creation,ios,maps-custom-route-creation,country,A4,,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y
mapsFlyover,Maps: Flyover,ios,maps-flyover,city,A4,,Y,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,Y
mapsVisitedPlaces,Maps: Visited Places,ios,maps-visited-places,country,A4,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
visionPro,Apple Vision Pro sold by Apple,manual,,country,S20;S21;R3,,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
appleCareOne,AppleCare One (Individual),manual,,country,S22,,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
selfServiceRepair,Self Service Repair,manual,,country,R1;R10,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
retailStores,Physical Apple Stores,manual,,country,R2,,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,Y
