country,product,tier,localName,monthly,yearly,storageGB,services,currency,vatIncluded,url,accessed
HU,iphoneDuo,from,,899990,,,,HUF,Y,https://www.apple.com/hu/shop/buy-iphone/iphone-duo,2026-09-26
HU,macbookNeo,from,,299990,,,,HUF,Y,https://www.apple.com/hu/shop/buy-mac/macbook-neo,2026-09-26
HU,watchSeries12,from,,169990,,,,HUF,Y,https://www.apple.com/hu/shop/buy-watch/apple-watch,2026-09-26
IE,appleOne,individual,Individual,19.95,,50,music;tv;arcade;icloud,EUR,,https://www.apple.com/ie/apple-one/,2026-09-25
IE,appleOne,family,Family,27.95,,200,music;tv;arcade;icloud,EUR,,https://www.apple.com/ie/apple-one/,2026-09-25
IE,appleOne,premier,Premier,36.95,,2048,music;tv;arcade;icloud;fitness,EUR,,https://www.apple.com/ie/apple-one/,2026-09-25
IE,fitnessPlus,standalone,,9.99,79.99,,,EUR,,https://www.apple.com/ie/apple-fitness-plus/,2026-09-25
IE,iphone18Pro,from,,1489,,,,EUR,Y,https://www.apple.com/ie/shop/buy-iphone/iphone-18-pro,2026-09-25
IE,iphoneDuo,from,,2369,,,,EUR,Y,https://www.apple.com/ie/shop/buy-iphone/iphone-duo,2026-09-26
IE,macbookNeo,from,,799,,,,EUR,Y,https://www.apple.com/ie/shop/buy-mac/macbook-neo,2026-09-26
IE,watchSeries12,from,,449,,,,EUR,Y,https://www.apple.com/ie/shop/buy-watch/apple-watch,2026-09-26
IT,appleOne,individual,Individuale,19.95,,50,music;tv;arcade;icloud,EUR,,https://www.apple.com/it/apple-one/,2026-09-25
IT,appleOne,family,Famiglia,25.95,,200,music;tv;arcade;icloud,EUR,,https://www.apple.com/it/apple-one/,2026-09-25
IT,appleOne,premier,Premium,34.95,,2048,music;tv;arcade;icloud;fitness,EUR,,https://www.apple.com/it/apple-one/,2026-09-25
IT,fitnessPlus,standalone,,9.99,79.99,,,EUR,,https://www.apple.com/it/apple-fitness-plus/,2026-09-25
IT,iphone18Pro,from,,1489,,,,EUR,Y,https://www.apple.com/it/shop/buy-iphone/iphone-18-pro,2026-09-25
IT,iphoneDuo,from,,2369,,,,EUR,Y,https://www.apple.com/it/shop/buy-iphone/iphone-duo,2026-09-26
IT,macbookNeo,from,,799,,,,EUR,Y,https://www.apple.com/it/shop/buy-mac/macbook-neo,2026-09-26
IT,watchSeries12,from,,459,,,,EUR,Y,https://www.apple.com/it/shop/buy-watch/apple-watch,2026-09-26
LU,appleOne,individual,Individuel,19.95,,50,music;tv;arcade;icloud,EUR,,https://www.apple.com/lu/apple-one/,2026-09-25
LU,appleOne,family,Famille,27.95,,200,music;tv;arcade;icloud,EUR,,https://www.apple.com/lu/apple-one/,2026-09-25
